Quarter,HPI,Unemployment,Sales,Price_idealista,Price_notaries,Spread,Av_Spread,Sharp_change,Ide_1,Ide_2,Ide_3,,,
2007T1,81.1,8.4,230023,1996,1756,12,16,1996,1980,1984,2023,,,
2007T2,83.4,7.9,202585,2037,1810,11,16,2091,2015,2044,2053,,,
2007T3,84.3,8.0,184326,2031,1783,12,16,2004,2045,2026,2022,,,
2007T4,83.7,8.6,158366,2036,1812,11,16,2065,2039,2046,2023,,,
2008T1,83.4,9.6,162267,2013,1779,12,16,1980,2011,2009,2019,,,
2008T2,83.2,10.4,150981,2015,1788,11,16,2024,2023,2013,2008,,,
2008T3,81.8,11.2,128773,1959,1731,12,16,1902,1979,1953,1946,,,
2008T4,79.2,13.8,110059,1934,1736,10,16,1939,1938,1943,1921,,,
2009T1,77.1,17.2,106523,1922,1696,12,16,1881,1921,1918,1927,,,
2009T2,76.8,17.8,97788,1912,1700,11,16,1917,1921,1913,1901,,,
2009T3,76.1,17.8,109084,1886,1667,12,16,1852,1897,1883,1878,,,
2009T4,75.8,18.7,99998,1877,1687,10,16,1897,1878,1879,1873,,,
2010T1,74.8,19.8,116483,1877,1686,10,16,1876,1873,1871,1888,,,
2010T2,76.0,19.9,109139,1906,1702,11,16,1922,1898,1909,1910,,,
2010T3,74.4,19.6,123241,1927,1576,18,16,1802,1931,1924,1927,,,
2010T4,74.3,20.1,90728,1955,1624,17,16,2003,1943,1960,1963,,,
2011T1,71.7,21.1,122933,1970,1564,21,16,1910,1963,1963,1984,,,
2011T2,70.9,20.6,83440,1983,1555,22,16,1975,1983,1984,1982,,,
2011T3,68.9,21.3,80736,1961,1507,23,16,1913,1976,1965,1942,,,
2011T4,66.0,22.6,72715,1929,1501,22,16,1924,1940,1935,1913,,,
2012T1,62.7,24.2,88884,1879,1379,27,16,1757,1902,1877,1858,,,
2012T2,60.7,24.4,73857,1830,1374,25,16,1824,1846,1828,1816,,,
2012T3,58.4,24.8,80964,1770,1337,24,16,1733,1800,1771,1740,,,
2012T4,57.6,25.8,74829,1729,1344,22,16,1737,1742,1734,1712,,,
2013T1,53.8,26.9,97473,1682,1227,27,16,1564,1687,1682,1676,,,
2013T2,53.4,26.1,74373,1656,1250,25,16,1680,1663,1658,1648,,,
2013T3,53.8,25.7,73373,1632,1247,24,16,1629,1644,1630,1623,,,
2013T4,53.1,25.7,67374,1608,1250,22,16,1612,1611,1608,1606,,,
2014T1,52.9,25.9,82940,1593,1281,20,16,1623,1603,1602,1574,,,
2014T2,53.8,24.5,78814,1562,1253,20,16,1534,1555,1567,1563,,,
2014T3,53.9,23.7,79356,1552,1222,21,16,1521,1562,1550,1543,,,
2014T4,54.0,23.7,77720,1556,1245,20,16,1580,1546,1559,1563,,,
2015T1,53.7,23.8,90748,1551,1247,20,16,1552,1554,1549,1551,,,
2015T2,56.0,22.4,87612,1549,1301,16,16,1604,1548,1552,1547,,,
2015T3,56.3,21.2,93115,1531,1255,18,16,1484,1544,1526,1522,,,
2015T4,56.3,20.9,84081,1526,1284,16,16,1555,1525,1526,1528,,,
2016T1,57.1,21.0,99620,1526,1300,15,16,1542,1524,1526,1527,,,
2016T2,58.1,20.0,108662,1518,1319,13,16,1538,1524,1516,1515,,,
2016T3,58.6,18.9,103640,1506,1265,16,16,1452,1509,1512,1497,,,
2016T4,58.8,18.6,93463,1508,1333,12,16,1575,1496,1506,1521,,,
2017T1,60.2,18.8,114965,1525,1355,11,16,1547,1524,1522,1530,,,
2017T2,61.4,17.2,121395,1538,1390,10,16,1574,1537,1535,1543,,,
2017T3,62.5,16.4,120069,1550,1353,13,16,1512,1564,1551,1534,,,
2017T4,63.1,16.6,111215,1552,1370,12,16,1568,1544,1555,1557,,,
2018T1,63.9,16.7,129164,1589,1372,14,16,1592,1570,1590,1607,,,
2018T2,65.6,15.3,134405,1622,1413,13,16,1663,1612,1619,1635,,,
2018T3,67.0,14.6,134156,1659,1404,15,16,1650,1650,1661,1666,,,
2018T4,67.2,14.5,120259,1678,1422,15,16,1697,1666,1684,1685,,,
2019T1,68.2,14.7,135031,1694,1422,16,16,1694,1686,1694,1703,,,
2019T2,69.0,14.0,130987,1718,1425,17,16,1721,1709,1712,1733,,,
2019T3,70.1,13.9,121256,1741,1449,17,16,1765,1738,1749,1735,,,
2019T4,69.7,13.8,116272,1755,1450,17,16,1756,1741,1761,1763,,,
